make a desperate attempt to do,孤注一掷
make a fuss ,小题大做
make a mess ,弄得一团糟
make a name for oneself,扬名立万
make a sour face,尖酸刻薄
make an appointment with sb ,预约SB
make an attempt to do / at sth ,企图…
make an entrance,华丽登场
make compromises to sth,对STH做出妥协
make contact with sb = contact sb ,联系SB
make hay while the sun shines,趁热打铁
make hay/use of sth = harness/utilise sth ,利用STH
make headway/progress in sth ,在STH上取得进展
make inroads [prep] sth,产生影响；侵袭STH
"make it a rule [that] 
make it a daily must to do ",使…成为惯例
make one's mark,取得成就
make one's way (to spl),取得成功；前往SP
make peace with sb,与SB和平相处
make sacrifices for sth ,为STH牺牲
make sth clear/public,公之于众
make sth of the essence,使STH成为必要
make/stage a comeback,卷土重来；东山再起
manage to do,设法做成
map out sth ,规划好STH
marvel at sth,惊叹于STH
mess up sth ,搞砸STH
mislead sb about/over sth ,在STH上误导SB
mislead sb into doing ,误导SB做STH
miss out (on) sth,错失STH
mix A with B ,将A与B混合
"More often than not,",通常；往往
name after sb,以SB命名
negotiate with sb,与SB谈判
nudge one's way to spl,艰难前往SP
off the beaten track,人迹罕至
on a daily basis,每天
"On hearing sth / [that],",一听说……
on one's daily routine,在日常生活中
on the edge/verge of sth,在STH的边缘
on the grounds [that],理由是……
on the line,命悬一线
on the scene,在（事发）现场
on the site,在（施工）现场
on the spot,当场；立即
open the door to sth,给STH机会
operate on a patient,对病人做手术
"oppose sth 
object to sth 
be opposed to sth ",反对STH
opt for sth = select sth ,挑选STH
order sb to do ,命令SB做
orient sb to sth,引导SB熟悉STH
originate in sth,起源于（地区/时代）
"out of question (旧)
beyond/without doubt ",无疑地
pack/stuff A with B ,用B填满A
pass sth down to sb,将STH流传/传授给SB
pass sth on to sb,将STH传给SB
pave the way for sth,为STH铺平道路
pay attention/heed to sth,注意STH
pay compliments to sb,赞美SB
pay off ,vi.得到回报
pay off / clear the debts ,还清债务
pay sb back in sb's own coin,以牙还牙
pay tribute to sb,致敬SB
peer at sth,端详STH
perform the remarkable feats,建功立业
persevere/persist in sth ,坚持STH
persuade sb to do / into doing ,说服SB(去)做
pick up professional skills,学习专业技能
pin all one's hopes on sth ,对STH寄予厚望
place a burden/strain on sb ,给SB带来负担/压力
plan to do = plan on doing ,计划做
plunge (oneself) into sth,陷入STH；投身于STH
pop up,vi.突然冒出/弹出
pose a challenge/threat to sb,对SB构成挑战/威胁
possess oneself of sth ,将STH占为己有
post videos on the social media,在社媒上发布视频
pour off sth,倒掉STH；从STH流出
pour out sth to sb,向SB倾吐STH
pray for sth,为STH祈祷
"present sb with sth
reveal sth to sb",把STH呈现给SB
press sb to do / into doing,催促/劝说SB(去)做
pride oneself on sth/doing,以…自豪
promise sb sth ,承诺SB STH
promise/pledge sb to do ,承诺SB做
